Boy1,42,89,27,Miser,45
Boy2,100,95,24,Generous,55
Boy3,57,13,19,Miser,61
Boy4,222,79,44,Generous,41
Boy5,198,46,80,Generous,78
Boy6,222,70,33,Miser,71
Boy7,185,39,64,Miser,10
Boy8,87,75,31,Generous,69
Boy9,169,55,94,Miser,21
Boy10,118,16,17,Miser,81
Boy11,57,70,65,Generous,52
Boy12,31,19,73,Generous,84
Boy13,61,81,58,Miser,92
Boy14,110,54,37,Miser,36
Boy15,90,37,86,Miser,44
Boy16,137,51,78,Miser,83
Boy17,3,37,48,Miser,99
Boy18,43,62,57,Miser,89
Boy19,207,53,37,Generous,76
Boy20,192,1,91,Miser,22
Boy21,158,47,15,Generous,14
Boy22,67,9,11,Generous,87
Boy23,105,43,73,Miser,97
Boy24,34,14,17,Miser,79
Boy25,168,36,13,Generous,28
Boy26,149,5,46,Generous,22
Boy27,247,10,70,Generous,79
Boy28,77,17,41,Generous,96
Boy29,221,75,27,Generous,22
Boy30,40,2,13,Miser,99
Boy31,132,32,91,Miser,47
Boy32,202,75,79,Generous,3
Boy33,61,97,63,Miser,76
Boy34,89,11,24,Generous,48
Boy35,9,69,52,Generous,44
Boy36,55,75,91,Miser,25
Boy37,201,4,71,Miser,15
Boy38,50,51,97,Generous,85
Boy39,154,75,63,Generous,83
Boy40,184,51,93,Miser,25
Boy41,98,24,53,Miser,47
Boy42,16,77,89,Generous,45
Boy43,41,54,39,Generous,15
Boy44,54,16,36,Miser,33
Boy45,246,91,90,Miser,47
Boy46,14,49,9,Miser,32
Boy47,123,7,20,Miser,74
Boy48,59,11,54,Miser,21
Boy49,190,69,47,Generous,99
Boy50,86,10,52,Miser,82
Boy51,243,24,6,Miser,41
Boy52,129,5,63,Miser,45
Boy53,209,4,76,Miser,54
Boy54,120,97,51,Generous,93
Boy55,10,83,40,Miser,0
Boy56,120,86,72,Miser,41
Boy57,189,75,64,Miser,89
Boy58,21,0,43,Miser,81
Boy59,117,76,40,Generous,54
Boy60,226,25,20,Miser,31
Boy61,87,35,26,Miser,60
Boy62,144,32,68,Miser,61
Boy63,116,33,74,Generous,19
Boy64,41,20,97,Generous,12
Boy65,29,7,62,Miser,3
Boy66,88,72,55,Generous,18
Boy67,149,49,62,Generous,29
Boy68,154,59,30,Generous,80
Boy69,93,57,59,Miser,37
Boy70,76,7,22,Generous,44
Boy71,201,17,36,Generous,76
Boy72,21,3,29,Generous,93
Boy73,15,6,5,Miser,27
Boy74,111,57,36,Generous,12
Boy75,216,70,82,Miser,23
Boy76,160,37,56,Miser,80
Boy77,162,2,23,Generous,68
Boy78,173,4,68,Generous,33
Boy79,97,81,85,Miser,92
Boy80,42,41,88,Generous,55
Boy81,217,14,60,Miser,54
Boy82,194,13,71,Miser,43
Boy83,223,1,58,Generous,55
Boy84,6,34,33,Miser,78
Boy85,242,78,96,Generous,91
Boy86,142,86,66,Generous,18
Boy87,11,91,47,Miser,12
Boy88,18,15,7,Miser,28
Boy89,19,14,78,Miser,85
Boy90,217,27,38,Miser,50
Boy91,46,96,74,Miser,11
Boy92,82,88,70,Generous,63
Boy93,164,18,91,Generous,5
Boy94,77,84,51,Generous,43
Boy95,127,16,89,Generous,38
Boy96,184,63,29,Generous,60
Boy97,19,71,42,Generous,42
Boy98,143,31,64,Generous,20
Boy99,109,56,5,Miser,85
Boy100,109,22,36,Generous,45
Boy101,66,50,55,Miser,72
Boy102,245,10,29,Miser,35
Boy103,176,41,82,Miser,9
Boy104,192,83,23,Generous,76
Boy105,237,63,2,Generous,7
Boy106,180,37,19,Miser,75
Boy107,139,8,32,Generous,19
Boy108,44,23,44,Generous,81
Boy109,207,62,66,Miser,74
Boy110,222,86,89,Miser,60
Boy111,212,45,72,Generous,40
Boy112,99,51,82,Generous,33
Boy113,34,41,15,Generous,18
Boy114,199,97,64,Generous,5
Boy115,27,68,32,Miser,83
Boy116,128,36,49,Miser,70
Boy117,2,22,89,Miser,39
Boy118,46,40,61,Generous,82
Boy119,184,99,73,Generous,26
Boy120,219,26,17,Generous,88
Boy121,67,46,66,Generous,7
Boy122,193,96,7,Miser,80
Boy123,30,91,80,Miser,87
Boy124,185,30,78,Miser,62
Boy125,197,48,64,Generous,17
Boy126,134,45,63,Miser,88
Boy127,113,75,85,Miser,91
Boy128,28,57,53,Miser,53
