Girl1,218,90,23,Normal
Girl2,194,31,18,Normal
Girl3,186,62,76,Choosy
Girl4,160,84,19,Normal
Girl5,195,84,12,Normal
Girl6,92,83,19,Choosy
Girl7,18,32,24,Normal
Girl8,203,77,82,Choosy
Girl9,99,14,37,Normal
Girl10,193,8,48,Choosy
Girl11,163,39,60,Choosy
Girl12,6,93,80,Choosy
Girl13,113,53,21,Normal
Girl14,109,16,62,Choosy
Girl15,240,59,58,Normal
Girl16,79,62,2,Normal
Girl17,135,38,39,Normal
Girl18,212,30,52,Normal
Girl19,131,97,81,Choosy
Girl20,99,35,20,Choosy
Girl21,15,1,53,Normal
Girl22,43,39,77,Normal
Girl23,19,33,31,Normal
Girl24,231,11,88,Normal
Girl25,4,6,25,Normal
Girl26,103,71,83,Choosy
Girl27,20,59,63,Choosy
Girl28,176,66,52,Choosy
Girl29,235,63,18,Choosy
Girl30,125,12,85,Choosy
Girl31,147,57,67,Choosy
Girl32,34,42,47,Choosy
Girl33,75,34,67,Choosy
Girl34,203,1,97,Normal
Girl35,78,99,38,Choosy
Girl36,160,19,71,Normal
Girl37,9,18,2,Normal
Girl38,156,36,98,Choosy
Girl39,50,76,18,Choosy
Girl40,164,89,60,Choosy
Girl41,5,6,17,Normal
Girl42,110,64,1,Choosy
Girl43,190,15,22,Normal
Girl44,190,77,71,Choosy
Girl45,58,39,36,Normal
Girl46,114,6,75,Normal
Girl47,11,82,29,Normal
Girl48,184,8,14,Choosy
Girl49,130,5,80,Choosy
